YearStart,YearEnd,LocationDesc,Class,Topic,Question,Data_Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit,Age group,Stratification2,ClassID
2017,2017,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,60.8,60.8,49,71.4,65 years or older,"Black, non-Hispanic",C03
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,,,,,65 years or older,"Black, non-Hispanic",C02
2016,2016,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,,,,50-64 years,Asian/Pacific Islander,C05
2015,2015,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,82.7,82.7,79.2,85.7,Overall,Male,C01
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,,,,50-64 years,Native Am/Alaskan Native,C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,29.7,29.7,27.6,31.9,65 years or older,"White, non-Hispanic",C02
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,11.4,11.4,8.4,15.3,Overall,Hispanic,C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,23.9,23.9,21.6,26.4,Overall,Male,C02
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,35,35,32.3,37.8,65 years or older,Female,C02
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,35.3,35.3,27.9,43.5,65 years or older,Hispanic,C02
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,,,,,50-64 years,Asian/Pacific Islander,C02
2015,2015,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,,,,,65 years or older,Asian/Pacific Islander,C01
2017,2017,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,85,85,79.3,89.3,50-64 years,Hispanic,C01
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,31.4,31.4,30.2,32.7,Overall,"White, non-Hispanic",C02
2015,2015,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,79.1,79.1,74.3,83.2,50-64 years,Female,C01
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,11.7,11.7,10.6,12.8,Overall,Female,C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,17.3,17.3,15.8,18.8,Overall,"White, non-Hispanic",C02
